7.1132,18.452
5.5277,8.1352
8.5186,12.663
7.0032,11.955
5.8598,6.8533
8.3829,11.888
7.4764,4.3485
8.5781,13
6.4862,7.5987
5.0546,4.8166
5.7107,4.2522
14.164,15.505
5.734,3.1567
8.4084,7.2287
5.6407,0.71623
5.3794,3.5198
6.3654,5.3009
6.1301,0.56065
7.4296,3.6509
9.0708,5.33
6.0091,3.13
5.0901,4.263
6.6561,5
5.4549,3.0825
19.945,22.638
12.828,13.501
10.957,7.0467
13.176,14.692
22.203,24.147
5.2524,-2.23
6.5894,5.9966
9.2482,12.134
6.8918,1.8495
8.2111,6.5426
7.9334,4.5623
8.0959,4.1164
5.6063,-3.3928
15.836,10.117
6.3534,5.4974
5.8825,3.9115
13.708,5.3854
7.7737,2.4406
7.8247,6.7318
9.0931,1.0463
5.0702,5.1337
6.8014,1.844
13.7,8.0043
6.5416,1.0179
8.5402,6.7504
6.3077,1.8396
8.4239,4.2885
8.6031,4.9981
5.3328,1.4233
5.3589,-1.56
5.2742,2.4756
4.6397,4.6042
8.4536,5.4141
7.8254,5.1694
4.1793,-0.78
22.279,17.929
15.908,12.054
19.959,17.054
7.0987,4.8852
8.1534,5.7442
10.984,7.7754
5.2765,1.0173
20.125,20.992
10.098,6.6799
7.235,4.0259
6.752,1.2784
7.2099,3.3411
6.0269,-2.6834
7.5479,0.29678
8.5386,3.8845
5.0098,5.7014
10.987,6.7526
5.167,2.0576
5.4742,0.47953
6.0987,0.67861
9.1237,7.5435
6.9879,5.3436
8.6782,4.2415
9.1082,6.7981
6.122,0.92695
5.5297,0.152
5.0507,2.8214
6.7045,1.8451
8.6377,5.6789

